@relation 'flight_data_new-weka.filters.unsupervised.attribute.Remove-R9-10,12-32,34-42-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute DEP_DELAY numeric
@attribute TAXI_OUT numeric
@attribute TAXI_IN numeric
@attribute ACTUAL_ELAPSED_TIME numeric
@attribute DISTANCE numeric
@attribute WHEELS_OFF_elapse numeric
@attribute WHEELS_ON_elapse numeric
@attribute FLIGHT_STATUS {0,1}
@attribute OP_CARRIER_Delta_Airlines numeric
@attribute MONTH_Nov numeric

@data
11,10,10,118,669,10,10,0,1,0
5,9,8,131,721,9,8,0,0,0
-11,11,6,86,481,11,6,0,1,0
-8,22,11,115,503,22,11,0,0,0
0,23,13,73,145,23,13,0,0,0
1,13,7,276,2139,13,7,0,1,0
0,14,5,48,147,14,5,0,0,1
-5,12,6,150,1199,12,6,0,1,0
3,11,10,273,2116,11,10,0,1,0
-3,9,15,101,444,9,15,0,1,0
-1,10,9,137,907,10,9,0,0,0
-5,12,9,116,594,12,9,0,0,1
16,12,6,113,692,12,6,0,0,0
-2,15,8,253,1947,15,8,0,1,0
-4,15,10,119,721,15,10,0,1,0
-6,13,5,82,404,13,5,0,0,0
-5,11,6,118,782,11,6,0,1,0
-2,15,18,135,731,15,18,0,1,0
7,11,6,220,1747,11,6,0,1,0
-7,8,9,106,516,8,9,0,1,0
3,11,10,121,721,11,10,0,1,0
-7,17,8,89,425,17,8,0,1,0
-1,11,7,121,782,11,7,0,1,0
10,11,11,90,447,11,11,0,1,0
12,12,5,109,692,12,5,0,1,1
-7,12,6,119,692,12,6,0,0,0
-2,23,7,89,404,23,7,0,1,0
-7,22,17,84,259,22,17,0,1,0
0,18,12,117,594,18,12,0,1,0
-6,11,7,97,533,11,7,0,0,0
-4,14,8,120,594,14,8,0,1,0
-8,17,5,65,214,17,5,0,1,0
0,19,6,71,332,19,6,0,1,0
-8,33,6,118,516,33,6,0,1,1
0,12,8,105,594,12,8,0,1,0
8,19,9,173,946,19,9,0,1,0
-4,12,5,62,250,12,5,0,1,0
-2,15,8,108,526,15,8,0,1,0
1,27,8,291,2130,27,8,0,0,0
-8,14,7,78,321,14,7,0,1,0
-5,15,8,91,321,15,8,0,1,0
9,15,10,89,363,15,10,0,1,0
-6,21,6,141,746,21,6,0,0,0
-14,24,8,98,304,24,8,0,0,0
-4,13,6,82,425,13,6,0,1,0
-5,12,7,86,432,12,7,0,1,0
-1,23,7,134,762,23,7,0,1,0
-7,16,6,117,666,16,6,0,1,0
5,29,8,90,306,29,8,0,1,1
-3,7,6,109,696,7,6,0,0,0
-3,13,9,83,373,13,9,0,1,0
5,22,8,139,762,22,8,0,1,0
-7,32,5,296,2182,32,5,0,1,0
-6,19,14,101,448,19,14,0,0,0
11,14,11,73,302,14,11,0,0,0
-2,20,10,148,762,20,10,0,1,0
-7,15,9,118,577,15,9,0,1,0
11,11,8,71,317,11,8,0,1,0
-8,10,12,114,696,10,12,0,1,0
-9,42,7,84,153,42,7,0,1,0
-4,13,5,64,250,13,5,0,1,0
-4,14,6,126,907,14,6,0,1,0
-3,12,9,70,271,12,9,0,1,0
1,8,9,59,223,8,9,0,1,1
-3,15,12,140,907,15,12,0,1,0
-6,27,8,146,762,27,8,0,0,0
2,8,6,85,432,8,6,0,1,0
-3,11,7,83,399,11,7,0,0,0
